@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940385-0664,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-27044B,AN-27044B,NORWICH UNION CHESTERFORD PARK,2019-08-06T13:28:00,Oil & Grs Vs,"Visible oil or grease, significant trace: Present/Not found (1/0)",664,,0.0,,pres/nf,ANY TRADE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),553318,242314
http://environment.data.gov.uk/water-quality/data/measurement/AN-1943141-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271064,AN-271064,"BEARWALDEN HS, BEARWALDEN BUSINESS PARK",2019-08-29T11:34:00,Sld Sus@105C,"Solids, Suspended at 105 C",135,,58.0,,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE FORMAL (PERMIT),551610,236090
http://environment.data.gov.uk/water-quality/data/measurement/AN-1943141-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271064,AN-271064,"BEARWALDEN HS, BEARWALDEN BUSINESS PARK",2019-08-29T11:34:00,BOD ATU,BOD : 5 Day ATU,85,,28.0,,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE FORMAL (PERMIT),551610,236090
http://environment.data.gov.uk/water-quality/data/measurement/AN-1943141-0664,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271064,AN-271064,"BEARWALDEN HS, BEARWALDEN BUSINESS PARK",2019-08-29T11:34:00,Oil & Grs Vs,"Visible oil or grease, significant trace: Present/Not found (1/0)",664,,0.0,,pres/nf,FINAL SEWAGE EFFLUENT,True,COMPLIANCE FORMAL (PERMIT),551610,236090
http://environment.data.gov.uk/water-quality/data/measurement/AN-1943141-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271064,AN-271064,"BEARWALDEN HS, BEARWALDEN BUSINESS PARK",2019-08-29T11:34:00,Ammonia(N),Ammoniacal Nitrogen as N,111,,70.0,,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE FORMAL (PERMIT),551610,236090
http://environment.data.gov.uk/water-quality/data/measurement/AN-1939666-0664,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271636,AN-271636,PETLANDS HOUSING ESTATE LT.WALDEN,2019-07-19T10:35:00,Oil & Grs Vs,"Visible oil or grease, significant trace: Present/Not found (1/0)",664,,0.0,,pres/nf,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),554597,241595
http://environment.data.gov.uk/water-quality/data/measurement/AN-1939666-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271636,AN-271636,PETLANDS HOUSING ESTATE LT.WALDEN,2019-07-19T10:35:00,BOD ATU,BOD : 5 Day ATU,85,,8.0,,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),554597,241595
http://environment.data.gov.uk/water-quality/data/measurement/AN-1939666-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271636,AN-271636,PETLANDS HOUSING ESTATE LT.WALDEN,2019-07-19T10:35:00,Ammonia(N),Ammoniacal Nitrogen as N,111,,3.3,,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),554597,241595
http://environment.data.gov.uk/water-quality/data/measurement/AN-1939666-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271636,AN-271636,PETLANDS HOUSING ESTATE LT.WALDEN,2019-07-19T10:35:00,Sld Sus@105C,"Solids, Suspended at 105 C",135,,50.0,,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),554597,241595
http://environment.data.gov.uk/water-quality/data/measurement/AN-1926846-7668,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271639,AN-271639,DERNFORD FARM HOSTEL STW,2019-03-06T10:11:00,NO FLOW/SAMP,No flow /No sample,7668,,0.0,,coded,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),546950,250670
http://environment.data.gov.uk/water-quality/data/measurement/AN-1934461-7668,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271639,AN-271639,DERNFORD FARM HOSTEL STW,2019-06-04T14:47:00,NO FLOW/SAMP,No flow /No sample,7668,,0.0,,coded,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),546950,250670
http://environment.data.gov.uk/water-quality/data/measurement/AN-1943517-7668,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-271639,AN-271639,DERNFORD FARM HOSTEL STW,2019-09-05T11:13:00,NO FLOW/SAMP,No flow /No sample,7668,,0.0,,coded,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),546950,250670
