@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1926822-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPTPF1,AN-HELPTPF1,HELPSTON SBR1,2019-03-06T10:25:00,Nitrate-N,Nitrate as N,117,,45.5,,mg/l,GROUNDWATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),512248,302927
http://environment.data.gov.uk/water-quality/data/measurement/AN-1926822-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPTPF1,AN-HELPTPF1,HELPSTON SBR1,2019-03-06T10:25:00,BOD ATU,BOD : 5 Day ATU,85,<,3.67,,mg/l,GROUNDWATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),512248,302927
http://environment.data.gov.uk/water-quality/data/measurement/AN-1926822-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPTPF1,AN-HELPTPF1,HELPSTON SBR1,2019-03-06T10:25:00,Nitrite-N,Nitrite as N,118,,1.49,,mg/l,GROUNDWATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),512248,302927
http://environment.data.gov.uk/water-quality/data/measurement/AN-1926822-3341,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPTPF1,AN-HELPTPF1,HELPSTON SBR1,2019-03-06T10:25:00,p-C-o-Cresol,4-Chloro-2-methylphenol :- {p-Chloro-o-cresol},3341,<,50.0,,ug/l,GROUNDWATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),512248,302927
http://environment.data.gov.uk/water-quality/data/measurement/AN-1926822-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPTPF1,AN-HELPTPF1,HELPSTON SBR1,2019-03-06T10:25:00,Ammonia(N),Ammoniacal Nitrogen as N,111,,1.29,,mg/l,GROUNDWATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),512248,302927
http://environment.data.gov.uk/water-quality/data/measurement/AN-1926822-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPTPF1,AN-HELPTPF1,HELPSTON SBR1,2019-03-06T10:25:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,,47.0,,mg/l,GROUNDWATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),512248,302927
http://environment.data.gov.uk/water-quality/data/measurement/AN-1926822-0092,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPTPF1,AN-HELPTPF1,HELPSTON SBR1,2019-03-06T10:25:00,COD as O2,Chemical Oxygen Demand :- {COD},92,,47.0,,mg/l,GROUNDWATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),512248,302927
http://environment.data.gov.uk/water-quality/data/measurement/AN-1926822-3549,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPTPF1,AN-HELPTPF1,HELPSTON SBR1,2019-03-06T10:25:00,Mecoprop,Mecoprop,3549,,17.8,,ug/l,GROUNDWATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),512248,302927
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927339-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPTPF1,AN-HELPTPF1,HELPSTON SBR1,2019-03-18T10:17:00,Nitrite-N,Nitrite as N,118,,0.82,,mg/l,GROUNDWATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),512248,302927
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927339-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPTPF1,AN-HELPTPF1,HELPSTON SBR1,2019-03-18T10:17:00,Nitrate-N,Nitrate as N,117,,46.0,,mg/l,GROUNDWATER,False,PLANNED INVESTIGATION (LOCAL MONITORING),512248,302927
