@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-9768,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,PCB Con 028,PCB - 028,9768,<,0.001,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,Cond @ 25C,Conductivity at 25 C,77,,1719.0,,us/cm,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-4994,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,MR Screen,GCMS Screen : Target Based multi-residue screening : Semi Quantitative,4994,,1.0,,text,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,NH3 un-ion,Ammonia un-ionised as N,119,<,0.00041,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-0209,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,K- Filtered,"Potassium, Dissolved",209,,16.1,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,pH,pH,61,,8.29,,phunits,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-6458,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,Mn- Filtered,"Manganese, Dissolved",6458,<,10.0,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,Ammonia(N),Ammoniacal Nitrogen as N,111,<,0.03,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-0052,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,Pb Filtered,"Lead, Dissolved",52,<,0.1,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-0235,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,Mg Filtered,"Magnesium, Dissolved",235,,36.0,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-9771,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,PCB Con 118,PCB - 118,9771,<,0.001,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-6450,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,Cu Filtered,"Copper, Dissolved",6450,,1.8,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-0753,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,PCBs,PCB : Total,753,<,0.008,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,,104.5,,%,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-9769,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,PCB Con 052,PCB - 052,9769,<,0.001,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-9770,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,PCB Con 101,PCB - 101,9770,<,0.001,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-0103,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,Hg Filtered,"Mercury, Dissolved",103,<,0.01,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-0050,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,Lead - as Pb,Lead,50,,0.179,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1925085-6460,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-02-15T13:25:00,Fe- Filt,"Iron, Dissolved",6460,<,30.0,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-7859,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,SO4dis,"Sulphate, Dissolved as SO4",7859,,470.0,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-7887,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,CHLOROPHYLL,Chlorophyll : Acetone Extract,7887,,13.6,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-3410,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Ni- Filtered,"Nickel, Dissolved",3410,,6.71,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Cond @ 25C,Conductivity at 25 C,77,,1741.0,,us/cm,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-4994,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,MR Screen,GCMS Screen : Target Based multi-residue screening : Semi Quantitative,4994,,1.0,,text,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,NH3 un-ion,Ammonia un-ionised as N,119,,0.00091,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0235,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Mg Filtered,"Magnesium, Dissolved",235,,39.0,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-6458,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Mn- Filtered,"Manganese, Dissolved",6458,,15.1,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0348,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Phosphorus-P,"Phosphorus, Total as P",348,,0.0947,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,N Oxidised,"Nitrogen, Total Oxidised as N",116,,8.97,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-9447,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,B - Filtered,"Boron, Dissolved",9447,,333.0,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-6045,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,As-Filtered,"Arsenic, Dissolved",6045,,1.02,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-6396,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,TurbidityNTU,Turbidity,6396,,3.9,,ntu,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,,12.0,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Orthophospht,"Orthophosphate, reactive as P",180,,0.051,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0301,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,C - Org Filt,"Carbon, Organic, Dissolved as C :- {DOC}",301,,10.5,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-6450,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Cu Filtered,"Copper, Dissolved",6450,,1.94,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0205,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Na- Filtered,"Sodium, Dissolved",205,,115.0,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Ammonia(N),Ammoniacal Nitrogen as N,111,,0.061,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Temp Water,Temperature of Water,76,,7.3,,cel,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0209,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,K- Filtered,"Potassium, Dissolved",209,,14.9,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Nitrate-N,Nitrate as N,117,,8.93,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0172,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Chloride Ion,Chloride,172,,159.0,,mg/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0052,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Pb Filtered,"Lead, Dissolved",52,<,0.1,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,pH,pH,61,,8.21,,phunits,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-0103,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Hg Filtered,"Mercury, Dissolved",103,<,0.01,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-3409,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Cr- Filtered,"Chromium, Dissolved",3409,<,0.5,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,,100.1,,%,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
http://environment.data.gov.uk/water-quality/data/measurement/AN-1927243-3408,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-53M14,AN-53M14,MIDDLE LEVEL MD MULLICOURT PRIORY SLUICE,2019-03-14T10:03:00,Zn- Filtered,"Zinc, Dissolved",3408,,3.38,,ug/l,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),553100,302900
