@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,,7.11,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Temp Water,Temperature of Water,76,,20.4,,cel,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-9943,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,N Oxid Filt,"Nitrogen, Total Oxidised, Filtered as N",9943,,0.099,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-7608,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,SALinsitu,Salinity : In Situ,7608,,34.98,,ppt,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-6020,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,NGR Northing,NGR : Northing,6020,,210988.0,,ngr,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-7887,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,CHLOROPHYLL,Chlorophyll : Acetone Extract,7887,,1.8,,ug/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-9856,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,OrthophsFilt,"Orthophosphate, Filtered as P",9856,,0.03,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-6485,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Nitrite Filt,"Nitrite, Filtered as N",6485,,0.021,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-9857,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,SiO2 Filt,"Silicate, Filtered as SiO2",9857,,0.36,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-0004,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Time Hi-Tide,Time of high tide,4,,18.21,,hh.mm,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-9993,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,NH3 filt N,"Ammoniacal Nitrogen, Filtered as N",9993,,0.023,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-4865,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Vol Filtered,Volume of Sample Filtered,4865,,1000.0,,ml,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-0006,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Sample Depth,Sample Depth below surface,6,,0.2,,m,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
